username,full_name,follows_you,you_follow,followers,following,posts,has_profile_pic,is_verified,risk_score,risk_reasons,inactive,tag,recommended_action
edbeleckmusic,"",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
installamericatennessee,"Install America Tennessee",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
markclarkehoops,"Mark Clarke",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
audi_mechanicsburg,"Audi Mechanicsburg",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
val_in_pa,"Val",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
ianabendschoen,"Ian Abendschoen",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
peersupportcop,"Daniel Martin-Toronto Police",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
poetrydanslarue,"Kasey Elizabeth",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
installamerica,"Install America Pennsylvania",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
bad_mojo_music,"",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
roseydoes,"Rosey",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
_natalie.mcm,"Natalie",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
wes_butz,"Wes Butz",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
samanthapoliver,"Samantha Oliver",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
kevinandersonspeaker,"Kevin Anderson",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
brandimiller_40,"Brandi Miller",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
